Issue,Complaint
Flickering Lights,The flickering lights in my apartment are making it hard to concentrate.
Flickering Lights,"The lights in the bathroom keep flickering, and it's very annoying."
Flickering Lights,I've noticed the lights flickering in my dorm room.
Flickering Lights,The lights in my apartment are flickering and need to be fixed.
Flickering Lights,The flickering lights in the hallway are a constant distraction.
Flickering Lights,The flickering lights in my apartment are making it hard to concentrate.
Flickering Lights,"The lights in the bathroom keep flickering, and it's very annoying."
Flickering Lights,I've noticed the lights flickering in my dorm room.
Flickering Lights,The lights in my apartment are flickering and need to be fixed.
Flickering Lights,The flickering lights in the hallway are a constant distraction.
Flickering Lights,The flickering lights in my apartment are making it hard to concentrate.
Flickering Lights,"The lights in the bathroom keep flickering, and it's very annoying."
Flickering Lights,I've noticed the lights flickering in my dorm room.
Flickering Lights,The lights in my apartment are flickering and need to be fixed.
Flickering Lights,The flickering lights in the hallway are a constant distraction.
Flickering Lights,The flickering lights in my apartment are making it hard to concentrate.
Flickering Lights,"The lights in the bathroom keep flickering, and it's very annoying."
Flickering Lights,I've noticed the lights flickering in my dorm room.
Flickering Lights,The lights in my apartment are flickering and need to be fixed.
Flickering Lights,The flickering lights in the hallway are a constant distraction.
Flickering Lights,The flickering lights in my apartment are making it hard to concentrate.
Flickering Lights,"The lights in the bathroom keep flickering, and it's very annoying."
Flickering Lights,I've noticed the lights flickering in my dorm room.
Flickering Lights,The lights in my apartment are flickering and need to be fixed.
Flickering Lights,The flickering lights in the hallway are a constant distraction.
Flickering Lights,The flickering lights in my apartment are making it hard to concentrate.
Flickering Lights,"The lights in the bathroom keep flickering, and it's very annoying."
Flickering Lights,I've noticed the lights flickering in my dorm room.
Flickering Lights,The lights in my apartment are flickering and need to be fixed.
Flickering Lights,The flickering lights in the hallway are a constant distraction.
Flickering Lights,The flickering lights in my apartment are making it hard to concentrate.
Flickering Lights,"The lights in the bathroom keep flickering, and it's very annoying."
Flickering Lights,I've noticed the lights flickering in my dorm room.
Flickering Lights,The lights in my apartment are flickering and need to be fixed.
Flickering Lights,The flickering lights in the hallway are a constant distraction.
Flickering Lights,The flickering lights in my apartment are making it hard to concentrate.
Flickering Lights,"The lights in the bathroom keep flickering, and it's very annoying."
Flickering Lights,I've noticed the lights flickering in my dorm room.
Flickering Lights,The lights in my apartment are flickering and need to be fixed.
Flickering Lights,The flickering lights in the hallway are a constant distraction.
Flickering Lights,The flickering lights in my apartment are making it hard to concentrate.
Flickering Lights,"The lights in the bathroom keep flickering, and it's very annoying."
Flickering Lights,I've noticed the lights flickering in my dorm room.
Flickering Lights,The lights in my apartment are flickering and need to be fixed.
Flickering Lights,The flickering lights in the hallway are a constant distraction.
Flickering Lights,The flickering lights in my apartment are making it hard to concentrate.
Flickering Lights,"The lights in the bathroom keep flickering, and it's very annoying."
Flickering Lights,I've noticed the lights flickering in my dorm room.
Flickering Lights,The lights in my apartment are flickering and need to be fixed.
Flickering Lights,The flickering lights in the hallway are a constant distraction.
Flickering Lights,The flickering lights in my apartment are making it hard to concentrate.
Flickering Lights,"The lights in the bathroom keep flickering, and it's very annoying."
Flickering Lights,I've noticed the lights flickering in my dorm room.
Flickering Lights,The lights in my apartment are flickering and need to be fixed.
Flickering Lights,The flickering lights in the hallway are a constant distraction.
Flickering Lights,The flickering lights in my apartment are making it hard to concentrate.
Flickering Lights,"The lights in the bathroom keep flickering, and it's very annoying."
Flickering Lights,I've noticed the lights flickering in my dorm room.
Flickering Lights,The lights in my apartment are flickering and need to be fixed.
Flickering Lights,The flickering lights in the hallway are a constant distraction.
Flickering Lights,The flickering lights in my apartment are making it hard to concentrate.
Flickering Lights,"The lights in the bathroom keep flickering, and it's very annoying."
Flickering Lights,I've noticed the lights flickering in my dorm room.
Flickering Lights,The lights in my apartment are flickering and need to be fixed.
Flickering Lights,The flickering lights in the hallway are a constant distraction.
Flickering Lights,The flickering lights in my apartment are making it hard to concentrate.
Flickering Lights,"The lights in the bathroom keep flickering, and it's very annoying."
Flickering Lights,I've noticed the lights flickering in my dorm room.
Flickering Lights,The lights in my apartment are flickering and need to be fixed.
Flickering Lights,The flickering lights in the hallway are a constant distraction.
Flickering Lights,The flickering lights in my apartment are making it hard to concentrate.
Flickering Lights,"The lights in the bathroom keep flickering, and it's very annoying."
Flickering Lights,I've noticed the lights flickering in my dorm room.
Flickering Lights,The lights in my apartment are flickering and need to be fixed.
Flickering Lights,The flickering lights in the hallway are a constant distraction.
Flickering Lights,The flickering lights in my apartment are making it hard to concentrate.
Flickering Lights,"The lights in the bathroom keep flickering, and it's very annoying."
Flickering Lights,I've noticed the lights flickering in my dorm room.
Flickering Lights,The lights in my apartment are flickering and need to be fixed.
Flickering Lights,The flickering lights in the hallway are a constant distraction.
Flickering Lights,The flickering lights in my apartment are making it hard to concentrate.
Flickering Lights,"The lights in the bathroom keep flickering, and it's very annoying."
Flickering Lights,I've noticed the lights flickering in my dorm room.
Flickering Lights,The lights in my apartment are flickering and need to be fixed.
Flickering Lights,The flickering lights in the hallway are a constant distraction.
Flickering Lights,The flickering lights in my apartment are making it hard to concentrate.
Flickering Lights,"The lights in the bathroom keep flickering, and it's very annoying."
Flickering Lights,I've noticed the lights flickering in my dorm room.
Flickering Lights,The lights in my apartment are flickering and need to be fixed.
Flickering Lights,The flickering lights in the hallway are a constant distraction.
Flickering Lights,The flickering lights in my apartment are making it hard to concentrate.
Flickering Lights,"The lights in the bathroom keep flickering, and it's very annoying."
Flickering Lights,I've noticed the lights flickering in my dorm room.
Flickering Lights,The lights in my apartment are flickering and need to be fixed.
Flickering Lights,The flickering lights in the hallway are a constant distraction.
Flickering Lights,The flickering lights in my apartment are making it hard to concentrate.
Flickering Lights,"The lights in the bathroom keep flickering, and it's very annoying."
Flickering Lights,I've noticed the lights flickering in my dorm room.
Flickering Lights,The lights in my apartment are flickering and need to be fixed.
Flickering Lights,The flickering lights in the hallway are a constant distraction.
Flickering Lights,The flickering lights in my apartment are making it hard to concentrate.
Flickering Lights,"The lights in the bathroom keep flickering, and it's very annoying."
Flickering Lights,I've noticed the lights flickering in my dorm room.
Flickering Lights,The lights in my apartment are flickering and need to be fixed.
Flickering Lights,The flickering lights in the hallway are a constant distraction.
Flickering Lights,The flickering lights in my apartment are making it hard to concentrate.
Flickering Lights,"The lights in the bathroom keep flickering, and it's very annoying."
Flickering Lights,I've noticed the lights flickering in my dorm room.
Flickering Lights,The lights in my apartment are flickering and need to be fixed.
Flickering Lights,The flickering lights in the hallway are a constant distraction.
Flickering Lights,The flickering lights in my apartment are making it hard to concentrate.
Flickering Lights,"The lights in the bathroom keep flickering, and it's very annoying."
Flickering Lights,I've noticed the lights flickering in my dorm room.
Flickering Lights,The lights in my apartment are flickering and need to be fixed.
Flickering Lights,The flickering lights in the hallway are a constant distraction.
Flickering Lights,The flickering lights in my apartment are making it hard to concentrate.
Flickering Lights,"The lights in the bathroom keep flickering, and it's very annoying."
Flickering Lights,I've noticed the lights flickering in my dorm room.
Flickering Lights,The lights in my apartment are flickering and need to be fixed.
Flickering Lights,The flickering lights in the hallway are a constant distraction.
Flickering Lights,The flickering lights in my apartment are making it hard to concentrate.
Flickering Lights,"The lights in the bathroom keep flickering, and it's very annoying."
Flickering Lights,I've noticed the lights flickering in my dorm room.
Flickering Lights,The lights in my apartment are flickering and need to be fixed.
Flickering Lights,The flickering lights in the hallway are a constant distraction.
Flickering Lights,The flickering lights in my apartment are making it hard to concentrate.
Flickering Lights,"The lights in the bathroom keep flickering, and it's very annoying."
Flickering Lights,I've noticed the lights flickering in my dorm room.
Flickering Lights,The lights in my apartment are flickering and need to be fixed.
Flickering Lights,The flickering lights in the hallway are a constant distraction.
Flickering Lights,The flickering lights in my apartment are making it hard to concentrate.
Flickering Lights,"The lights in the bathroom keep flickering, and it's very annoying."
Flickering Lights,I've noticed the lights flickering in my dorm room.
Flickering Lights,The lights in my apartment are flickering and need to be fixed.
Flickering Lights,The flickering lights in the hallway are a constant distraction.
Flickering Lights,The flickering lights in my apartment are making it hard to concentrate.
Flickering Lights,"The lights in the bathroom keep flickering, and it's very annoying."
Flickering Lights,I've noticed the lights flickering in my dorm room.
Flickering Lights,The lights in my apartment are flickering and need to be fixed.
Flickering Lights,The flickering lights in the hallway are a constant distraction.
Flickering Lights,The flickering lights in my apartment are making it hard to concentrate.
Flickering Lights,"The lights in the bathroom keep flickering, and it's very annoying."
Flickering Lights,I've noticed the lights flickering in my dorm room.
Flickering Lights,The lights in my apartment are flickering and need to be fixed.
Flickering Lights,The flickering lights in the hallway are a constant distraction.
Flickering Lights,The flickering lights in my apartment are making it hard to concentrate.
Flickering Lights,"The lights in the bathroom keep flickering, and it's very annoying."
Flickering Lights,I've noticed the lights flickering in my dorm room.
Flickering Lights,The lights in my apartment are flickering and need to be fixed.
Flickering Lights,The flickering lights in the hallway are a constant distraction.
Flickering Lights,The flickering lights in my apartment are making it hard to concentrate.
Flickering Lights,"The lights in the bathroom keep flickering, and it's very annoying."
